                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8384,                  2.312,                 1.9236,                   0.02,                  0.375,                0.02806,                0.00281,                 4.4578,                 1.3183,                0.75697,             0.00066461,             0.00066461,             0.00066461
                      2,                 2.0998,                0.81995,                0.92857,                0.10429,                0.24038,                0.07556,                0.00756,                 4.0088,                 1.0651,                0.56048,              0.0012654,              0.0012654,              0.0012654
                      3,                  1.862,                0.71525,                0.78837,                0.04673,                 0.3125,                0.03674,                0.00367,                 4.1367,                0.96221,                0.57223,              0.0018001,              0.0018001,              0.0018001
                      4,                 1.7545,                0.65328,                0.73503,                0.02062,                  0.125,                0.01527,                0.00153,                 4.0864,                0.91471,                0.54322,               0.001703,               0.001703,               0.001703
                      5,                 1.6883,                0.61719,                0.70683,                0.01961,                  0.125,                0.01123,                0.00112,                 4.1197,                0.93455,                 0.5529,               0.001703,               0.001703,               0.001703
                      6,                 1.5886,                0.57931,                0.68134,                0.02857,                 0.0625,                0.01518,                0.00152,                 4.0037,                0.89466,                0.51727,               0.001604,               0.001604,               0.001604
                      7,                 1.5474,                0.55402,                0.66981,                0.03571,                 0.0625,                0.01897,                 0.0019,                 4.0174,                0.89737,                0.52701,               0.001505,               0.001505,               0.001505
                      8,                 1.5137,                0.53973,                0.66519,                0.03571,                 0.0625,                0.01897,                 0.0019,                 3.9741,                 0.8745,                0.51764,               0.001406,               0.001406,               0.001406
                      9,                 1.4897,                0.52557,                0.66081,                0.03571,                 0.0625,                0.01897,                 0.0019,                 4.0476,                0.89328,                0.53445,               0.001307,               0.001307,               0.001307
                     10,                 1.4803,                0.52256,                 0.6581,                   0.16,                   0.25,                0.10163,                0.01016,                 3.8885,                0.83602,                0.49136,               0.001208,               0.001208,               0.001208
                     11,                 2.7621,                0.72213,                0.47754,                0.24937,                 0.3125,                0.24443,                0.02444,                 3.8851,                0.84542,                0.50169,               0.001109,               0.001109,               0.001109
                     12,                 2.7159,                0.67821,                0.48058,                0.10867,                  0.125,                0.04836,                0.00484,                 3.8912,                0.82851,                0.49748,                0.00101,                0.00101,                0.00101
                     13,                 2.7294,                0.67242,                0.47504,                0.05855,                 0.0625,                0.02619,                0.00262,                 3.8944,                0.83373,                0.50095,               0.000911,               0.000911,               0.000911
                     14,                 2.6949,                0.65872,                0.47447,                0.05266,                 0.0625,                0.02047,                0.00205,                 3.9115,                0.84485,                0.50598,               0.000812,               0.000812,               0.000812
                     15,                 2.7169,                0.65578,                0.47175,                0.17151,                 0.1875,                0.09257,                0.00926,                 3.8679,                 0.8049,                 0.4878,               0.000713,               0.000713,               0.000713
                     16,                 2.7313,                0.65389,                0.46687,                0.04783,                 0.0625,                0.02325,                0.00233,                 3.8908,                0.82602,                0.49709,               0.000614,               0.000614,               0.000614
                     17,                 2.7043,                0.64843,                0.46875,                0.30435,                 0.4375,                0.25684,                0.02568,                 3.8124,                0.79233,                0.48901,               0.000515,               0.000515,               0.000515
                     18,                 2.6982,                0.64338,                0.46746,                 0.0524,                 0.0625,                0.02176,                0.00218,                 3.8995,                0.83963,                0.50033,               0.000416,               0.000416,               0.000416
                     19,                 2.6957,                 0.6387,                0.46706,                0.16495,                 0.1875,                0.08415,                0.00841,                  3.865,                0.79413,                0.49697,               0.000317,               0.000317,               0.000317
                     20,                 2.6729,                0.63564,                 0.4673,                0.16495,                 0.1875,                0.08415,                0.00841,                 3.8888,                0.80406,                0.50081,               0.000218,               0.000218,               0.000218
