                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9809,                 2.4735,                 1.9656,                0.00333,                 0.0625,                0.00199,                 0.0002,                 4.6331,                 1.3334,                 0.7961,             0.00066461,             0.00066461,             0.00066461
                      2,                 2.3217,                 1.0075,                0.96659,                0.00485,                 0.0625,                  0.003,                 0.0003,                 4.3865,                 1.1833,                0.66245,              0.0012654,              0.0012654,              0.0012654
                      3,                 2.0915,                  0.867,                0.80842,                0.00595,                 0.0625,                 0.0032,                0.00032,                 4.4966,                 1.1973,                0.71776,              0.0018001,              0.0018001,              0.0018001
                      4,                 1.9541,                0.77665,                0.74531,                0.03279,                   0.25,                0.02227,                0.00223,                 4.2462,                 1.0296,                0.60078,               0.001703,               0.001703,               0.001703
                      5,                 1.8552,                0.72012,                 0.7118,                0.03279,                   0.25,                0.02227,                0.00223,                 4.1858,                0.95208,                0.59544,               0.001703,               0.001703,               0.001703
                      6,                 1.7875,                0.67508,                0.69993,                0.02703,                  0.125,                0.01586,                0.00159,                 4.4184,                 1.0704,                0.68292,               0.001604,               0.001604,               0.001604
                      7,                 1.7523,                0.65555,                0.68866,                0.00926,                 0.0625,                0.00544,                0.00054,                 4.7045,                 1.4361,                0.94064,               0.001505,               0.001505,               0.001505
                      8,                 1.6916,                0.62344,                0.67606,                0.03704,                  0.125,                0.02296,                 0.0023,                 4.2975,                0.98946,                0.66853,               0.001406,               0.001406,               0.001406
                      9,                 1.6482,                0.60654,                0.66835,                0.03846,                  0.125,                0.02193,                0.00219,                 4.3876,                 1.0232,                0.69101,               0.001307,               0.001307,               0.001307
                     10,                 1.6243,                0.59194,                0.65964,                0.01923,                 0.0625,                0.01063,                0.00106,                 4.3861,                0.98696,                0.69163,               0.001208,               0.001208,               0.001208
                     11,                 2.8703,                0.76207,                0.48933,                0.01923,                 0.0625,                0.01063,                0.00106,                  4.247,                 0.9674,                  0.629,               0.001109,               0.001109,               0.001109
                     12,                 2.8129,                 0.7246,                 0.4872,                0.01923,                 0.0625,                0.01063,                0.00106,                 4.1342,                0.95972,                0.58364,                0.00101,                0.00101,                0.00101
                     13,                 2.8179,                0.71351,                0.48205,                0.01923,                 0.0625,                0.01063,                0.00106,                 4.2128,                0.99195,                 0.6223,               0.000911,               0.000911,               0.000911
                     14,                 2.7823,                0.70585,                0.48225,                0.01923,                 0.0625,                0.01063,                0.00106,                 4.2999,                 0.9946,                0.65913,               0.000812,               0.000812,               0.000812
                     15,                  2.804,                0.70411,                0.48039,                0.01923,                 0.0625,                0.01063,                0.00106,                 4.2669,                0.98993,                0.67738,               0.000713,               0.000713,               0.000713
                     16,                 2.8114,                0.69318,                0.47461,                0.01923,                 0.0625,                0.01063,                0.00106,                  4.258,                0.96173,                0.66661,               0.000614,               0.000614,               0.000614
                     17,                  2.782,                0.68717,                0.47457,                0.02632,                 0.0625,                0.01403,                 0.0014,                 4.2167,                0.94799,                0.65626,               0.000515,               0.000515,               0.000515
                     18,                 2.7788,                0.68304,                0.47466,                0.02632,                 0.0625,                0.01403,                 0.0014,                 4.1558,                0.95734,                0.60227,               0.000416,               0.000416,               0.000416
                     19,                 2.7702,                0.67723,                0.47371,                0.02326,                 0.0625,                0.01265,                0.00126,                 4.3261,                 0.9828,                  0.679,               0.000317,               0.000317,               0.000317
                     20,                 2.7458,                0.67126,                0.47309,                0.02564,                 0.0625,                0.01371,                0.00137,                 4.1364,                0.91904,                0.60814,               0.000218,               0.000218,               0.000218
