                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8122,                 2.5036,                 2.0323,                0.59664,                 0.9375,                0.76912,                0.22773,                 2.5076,                 1.2373,                  1.184,             0.00066461,             0.00066461,             0.00066461
                      2,                 1.7914,                  1.125,                 1.1607,                0.99688,                   0.75,                 0.9324,                0.32998,                 2.4287,                 1.0267,                0.98538,              0.0012654,              0.0012654,              0.0012654
                      3,                  1.534,                0.96024,                0.97815,                0.61173,                 0.6894,                0.84741,                 0.2568,                 2.7808,                 1.2435,                0.98166,              0.0018001,              0.0018001,              0.0018001
                      4,                 1.4326,                0.89195,                0.90746,                0.99727,                  0.875,                0.93324,                0.32054,                 2.7211,                  1.041,                 0.8829,               0.001703,               0.001703,               0.001703
                      5,                 1.2479,                0.75811,                0.85717,                0.80991,                      1,                0.95091,                 0.2886,                 2.8931,                0.94179,                0.88292,               0.001703,               0.001703,               0.001703
                      6,                 1.1388,                0.69009,                 0.8315,                0.84924,                 0.9375,                0.96065,                0.28404,                 2.8567,                 1.0041,                0.90397,               0.001604,               0.001604,               0.001604
                      7,                 1.1144,                0.66098,                0.82086,                 0.8395,                      1,                0.96739,                0.32538,                 2.7309,                0.97778,                0.88555,               0.001505,               0.001505,               0.001505
                      8,                  1.039,                0.61234,                0.81187,                 0.9341,                 0.9375,                0.96222,                 0.3281,                  2.718,                  1.023,                 0.8556,               0.001406,               0.001406,               0.001406
                      9,                0.99938,                0.58676,                0.81776,                0.99627,                 0.8125,                  0.969,                0.26343,                 2.8913,                 1.0079,                0.88414,               0.001307,               0.001307,               0.001307
                     10,                0.95839,                 0.5619,                0.79736,                0.85409,                 0.8125,                0.91995,                0.17504,                  3.158,                 1.1963,                0.91593,               0.001208,               0.001208,               0.001208
                     11,                  1.223,                0.61373,                0.66543,                0.96662,                   0.75,                0.90767,                0.29408,                 2.7376,                 1.0678,                 0.8656,               0.001109,               0.001109,               0.001109
                     12,                 1.1806,                0.58912,                0.66059,                 0.9279,                0.80485,                0.94648,                0.39977,                 2.3987,                 1.0004,                0.82183,                0.00101,                0.00101,                0.00101
                     13,                 1.1486,                0.57189,                0.65855,                0.93272,                0.86696,                0.93027,                0.29569,                 2.7295,                 1.0618,                0.87612,               0.000911,               0.000911,               0.000911
                     14,                 1.1246,                0.55871,                 0.6601,                0.82929,                0.91171,                0.94143,                0.31806,                 2.6893,                  1.113,                0.86083,               0.000812,               0.000812,               0.000812
                     15,                 1.1002,                0.54533,                0.65584,                0.87484,                  0.875,                0.91897,                 0.2362,                 2.8937,                 1.1909,                0.88913,               0.000713,               0.000713,               0.000713
                     16,                 1.1011,                0.54054,                0.65543,                0.92534,                  0.875,                0.92261,                0.20761,                 3.1262,                 1.2366,                0.90975,               0.000614,               0.000614,               0.000614
                     17,                 1.0597,                0.52767,                0.65162,                0.91026,                 0.8125,                0.91632,                0.26297,                 2.9428,                 1.2362,                0.87827,               0.000515,               0.000515,               0.000515
                     18,                 1.0467,                0.51918,                 0.6521,                0.86792,                  0.875,                0.91196,                0.24013,                 2.9444,                 1.2797,                0.88454,               0.000416,               0.000416,               0.000416
                     19,                 1.0353,                0.51106,                0.64825,                0.92739,                 0.8125,                0.93841,                0.21457,                 3.0654,                 1.2778,                0.88256,               0.000317,               0.000317,               0.000317
                     20,                 1.0089,                0.49859,                0.65009,                0.93233,                0.86182,                 0.9595,                0.30592,                 2.7848,                 1.1589,                0.87215,               0.000218,               0.000218,               0.000218
