                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8574,                 2.3076,                 1.9176,                      0,                      0,                      0,                      0,                 4.3722,                 1.1975,                 0.6915,             0.00066461,             0.00066461,             0.00066461
                      2,                 2.1476,                0.84351,                0.95201,                 0.1098,                   0.25,                0.04996,                  0.005,                 4.0119,                 1.0656,                0.60834,              0.0012654,              0.0012654,              0.0012654
                      3,                 1.9329,                0.74411,                0.80763,                  0.008,                 0.0625,                 0.0043,                0.00043,                 4.2006,                 1.0829,                0.59343,              0.0018001,              0.0018001,              0.0018001
                      4,                 1.8098,                0.68673,                0.73475,                0.05119,                 0.0625,                0.01908,                0.00191,                 4.0055,                0.94082,                0.53811,               0.001703,               0.001703,               0.001703
                      5,                 1.7119,                0.63435,                0.70005,                0.02198,                  0.125,                0.01587,                0.00159,                 4.1895,                0.94324,                0.57386,               0.001703,               0.001703,               0.001703
                      6,                 1.6556,                0.60392,                0.69141,                0.02198,                  0.125,                0.01587,                0.00159,                 4.0778,                0.94616,                0.53584,               0.001604,               0.001604,               0.001604
                      7,                 1.6143,                0.58398,                0.67408,                0.20973,                   0.25,                0.14993,                0.01499,                 3.8937,                0.88015,                0.49996,               0.001505,               0.001505,               0.001505
                      8,                 1.5515,                0.55595,                0.66719,                  0.125,                 0.1875,                0.08916,                0.00892,                 3.9186,                0.85402,                0.49928,               0.001406,               0.001406,               0.001406
                      9,                 1.5357,                0.54639,                 0.6597,                0.13636,                 0.1875,                0.08349,                0.00835,                 3.9085,                0.87288,                0.49904,               0.001307,               0.001307,               0.001307
                     10,                 1.5231,                0.54057,                0.65651,                0.04902,                 0.0625,                0.02096,                 0.0021,                 4.0178,                0.86871,                0.53566,               0.001208,               0.001208,               0.001208
                     11,                 2.7998,                0.71986,                0.48109,                0.14134,                   0.25,                 0.0854,                0.00854,                 3.8851,                0.83956,                0.49066,               0.001109,               0.001109,               0.001109
                     12,                 2.7434,                0.69131,                0.48058,                0.19883,                 0.1875,                0.11623,                0.01162,                 3.9014,                0.82049,                0.49586,                0.00101,                0.00101,                0.00101
                     13,                 2.7582,                0.67932,                0.47452,                 0.0898,                  0.125,                0.04556,                0.00456,                 3.9325,                0.82551,                0.49566,               0.000911,               0.000911,               0.000911
                     14,                 2.7299,                0.67361,                0.47672,                 0.0898,                  0.125,                0.04556,                0.00456,                 4.1692,                0.91601,                0.56719,               0.000812,               0.000812,               0.000812
                     15,                  2.746,                0.67096,                0.47405,                0.05638,                 0.0625,                0.02133,                0.00213,                 3.9417,                0.84104,                0.51421,               0.000713,               0.000713,               0.000713
                     16,                 2.7596,                0.66523,                0.46888,                0.05022,                 0.0625,                0.02335,                0.00233,                 3.9891,                0.83864,                0.52536,               0.000614,               0.000614,               0.000614
                     17,                  2.735,                0.66102,                 0.4701,                0.13505,                 0.1875,                0.07463,                0.00746,                 3.8761,                0.80463,                0.49059,               0.000515,               0.000515,               0.000515
                     18,                 2.7268,                 0.6581,                0.46839,                0.05488,                 0.0625,                0.02515,                0.00251,                 3.9359,                0.82199,                0.51432,               0.000416,               0.000416,               0.000416
                     19,                 2.7258,                0.65183,                0.46839,                0.05405,                 0.0625,                0.02165,                0.00217,                 3.9733,                0.82907,                0.51796,               0.000317,               0.000317,               0.000317
                     20,                  2.703,                0.64794,                0.46827,                0.04459,                 0.0625,                0.02323,                0.00232,                 3.9254,                0.82351,                0.50734,               0.000218,               0.000218,               0.000218
