                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6341,                 2.3482,                 2.0655,                0.95717,                   0.75,                0.90461,                 0.2438,                 2.7894,                 1.3133,                 1.4118,             0.00066461,             0.00066461,             0.00066461
                      2,                  1.484,                0.81154,                 1.1241,                0.94053,                      1,                  0.995,                0.59672,                 1.7167,                0.79455,                0.94754,              0.0012654,              0.0012654,              0.0012654
                      3,                  1.198,                0.68424,                0.94498,                      1,                0.91934,                0.98833,                0.58829,                  1.769,                0.87526,                0.87926,              0.0018001,              0.0018001,              0.0018001
                      4,                 1.0443,                0.60255,                0.87646,                0.99348,                      1,                  0.995,                0.60194,                 1.6235,                0.64763,                  0.837,               0.001703,               0.001703,               0.001703
                      5,                0.94772,                0.54862,                0.83844,                0.88763,                0.98801,                0.98458,                 0.5458,                 1.8922,                0.81661,                0.81841,               0.001703,               0.001703,               0.001703
                      6,                0.86819,                0.50382,                0.83009,                0.99595,                      1,                  0.995,                0.66136,                 1.5166,                0.62937,                0.79841,               0.001604,               0.001604,               0.001604
                      7,                0.81419,                0.47162,                0.81426,                0.99339,                      1,                  0.995,                0.66488,                 1.5315,                0.62046,                0.76829,               0.001505,               0.001505,               0.001505
                      8,                 0.7721,                 0.4488,                0.79609,                0.99655,                      1,                  0.995,                0.67119,                 1.4714,                0.61131,                0.76986,               0.001406,               0.001406,               0.001406
                      9,                0.73562,                0.42864,                 0.7918,                0.99717,                      1,                  0.995,                0.70161,                 1.3381,                 0.6071,                0.75561,               0.001307,               0.001307,               0.001307
                     10,                0.74155,                0.42346,                0.79755,                0.99667,                      1,                  0.995,                0.68328,                 1.4323,                0.61458,                0.76897,               0.001208,               0.001208,               0.001208
                     11,                 1.0169,                0.50099,                  0.661,                0.99607,                      1,                  0.995,                0.75816,                 1.2097,                0.55702,                0.74942,               0.001109,               0.001109,               0.001109
                     12,                 0.9788,                0.47383,                0.65547,                0.99588,                      1,                  0.995,                0.75978,                 1.2022,                0.54226,                 0.7615,                0.00101,                0.00101,                0.00101
                     13,                0.98257,                0.46958,                0.65441,                0.99662,                      1,                  0.995,                0.77161,                 1.2228,                0.55437,                0.75221,               0.000911,               0.000911,               0.000911
                     14,                0.95792,                0.45758,                0.65266,                0.99607,                      1,                  0.995,                0.73637,                 1.3101,                0.56733,                0.74983,               0.000812,               0.000812,               0.000812
                     15,                 0.9518,                0.45206,                0.65113,                0.99535,                      1,                  0.995,                0.77045,                 1.2208,                0.55561,                0.74178,               0.000713,               0.000713,               0.000713
                     16,                0.93612,                0.44581,                 0.6487,                0.99577,                      1,                  0.995,                0.72282,                 1.3382,                0.59421,                0.75112,               0.000614,               0.000614,               0.000614
                     17,                0.90992,                0.43491,                0.64534,                0.99855,                      1,                  0.995,                 0.6969,                 1.3488,                0.61182,                0.75072,               0.000515,               0.000515,               0.000515
                     18,                0.90693,                0.43009,                0.64607,                0.94069,                0.99171,                0.99147,                0.73366,                 1.3256,                0.66206,                0.75858,               0.000416,               0.000416,               0.000416
                     19,                 0.8987,                0.42702,                0.64194,                0.99215,                  0.875,                0.96794,                 0.6595,                 1.5271,                0.76782,                0.76429,               0.000317,               0.000317,               0.000317
                     20,                0.88124,                0.42161,                0.64475,                0.99525,                      1,                  0.995,                0.75554,                 1.2277,                 0.5785,                0.74341,               0.000218,               0.000218,               0.000218
