                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9143,                 2.0391,                 2.6819,                0.59909,                0.59181,                0.56762,                0.15281,                  2.599,                  1.275,                 1.9348,             0.00066461,             0.00066461,             0.00066461
                      2,                 1.7194,                0.92883,                 1.4386,                0.93059,                0.87376,                0.94976,                0.51401,                 1.4354,                0.83317,                 1.2137,              0.0012654,              0.0012654,              0.0012654
                      3,                 1.3537,                  0.768,                 1.1547,                 0.8281,                0.76317,                0.86368,                0.33554,                 1.9658,                0.97838,                 1.2551,              0.0018001,              0.0018001,              0.0018001
                      4,                 1.1661,                0.68466,                  1.038,                0.91338,                0.91349,                0.95615,                0.45868,                 1.8715,                0.80875,                 1.1517,               0.001703,               0.001703,               0.001703
                      5,                0.96613,                  0.581,                0.95416,                0.93381,                0.90794,                0.97177,                0.52392,                 1.6461,                0.74966,                 1.0861,               0.001703,               0.001703,               0.001703
                      6,                0.88249,                0.52625,                0.91222,                0.91136,                0.91089,                0.96757,                0.54165,                 1.5548,                0.72689,                 1.0633,               0.001604,               0.001604,               0.001604
                      7,                0.81232,                0.49272,                0.88858,                0.90722,                 0.9505,                0.97282,                0.54501,                  1.611,                 0.6991,                 1.0605,               0.001505,               0.001505,               0.001505
                      8,                0.81968,                0.47397,                0.88772,                0.93961,                0.88575,                0.96299,                0.52917,                 1.7008,                0.73602,                 1.1173,               0.001406,               0.001406,               0.001406
                      9,                0.74146,                0.44985,                0.86674,                0.88155,                0.81053,                0.90982,                0.48134,                 1.7032,                0.76204,                 1.0717,               0.001307,               0.001307,               0.001307
                     10,                0.69839,                0.42491,                0.85524,                0.93073,                0.93116,                0.97801,                0.62815,                 1.3137,                0.59744,                0.98605,               0.001208,               0.001208,               0.001208
                     11,                0.64849,                 0.4035,                0.83734,                 0.8814,                0.93817,                0.96071,                0.62975,                 1.3132,                0.60486,                0.96462,               0.001109,               0.001109,               0.001109
                     12,                 0.6116,                0.38232,                0.82835,                0.94861,                0.91381,                0.97898,                0.62155,                 1.3775,                0.58664,                0.96286,                0.00101,                0.00101,                0.00101
                     13,                0.56641,                0.36237,                 0.8185,                0.94886,                0.95297,                0.97633,                0.66974,                 1.2225,                 0.5613,                0.94874,               0.000911,               0.000911,               0.000911
                     14,                0.54711,                0.34743,                0.81515,                0.84228,                0.82673,                0.89368,                0.50837,                 1.6814,                 0.7033,                 1.0811,               0.000812,               0.000812,               0.000812
                     15,                0.52275,                0.33496,                0.80966,                 0.9251,                0.90842,                0.96586,                0.66609,                 1.2358,                0.56133,                0.97357,               0.000713,               0.000713,               0.000713
                     16,                0.50883,                0.32377,                0.80428,                0.93206,                0.95083,                0.97727,                0.69838,                 1.1141,                 0.5099,                0.93801,               0.000614,               0.000614,               0.000614
                     17,                0.49131,                0.31753,                 0.8023,                0.92331,                0.95792,                0.97969,                0.66448,                  1.246,                0.54901,                0.95758,               0.000515,               0.000515,               0.000515
                     18,                 0.4726,                0.30634,                0.79726,                0.88152,                0.90241,                 0.9564,                0.60832,                 1.4017,                0.58139,                0.98593,               0.000416,               0.000416,               0.000416
                     19,                 0.4578,                0.29803,                0.79702,                0.94764,                0.89851,                0.96074,                0.63851,                 1.3226,                0.57379,                0.97853,               0.000317,               0.000317,               0.000317
                     20,                0.44912,                0.29285,                0.79534,                0.95498,                0.91337,                0.97759,                0.64285,                 1.3311,                 0.5503,                0.96722,               0.000218,               0.000218,               0.000218
