                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6187,                 2.3498,                 2.0784,                0.86457,                 0.6875,                0.87153,                0.36851,                 2.1319,                   1.16,                 1.2877,             0.00066461,             0.00066461,             0.00066461
                      2,                  1.492,                0.81426,                 1.1307,                 0.8861,                      1,                0.98083,                0.52855,                 1.9579,                0.89935,                0.95778,              0.0012654,              0.0012654,              0.0012654
                      3,                  1.202,                0.68513,                0.95257,                0.98679,                 0.9375,                0.98833,                0.63308,                 1.6073,                0.77641,                0.83045,              0.0018001,              0.0018001,              0.0018001
                      4,                 1.0361,                0.59531,                0.86666,                0.99331,                      1,                  0.995,                0.61076,                 1.7043,                0.71291,                0.83805,               0.001703,               0.001703,               0.001703
                      5,                0.91284,                0.53083,                0.83519,                0.98946,                      1,                  0.995,                0.67989,                 1.4654,                 0.6433,                0.78078,               0.001703,               0.001703,               0.001703
                      6,                0.86449,                0.49811,                0.82482,                0.99545,                      1,                  0.995,                 0.6926,                 1.4061,                0.61524,                0.76439,               0.001604,               0.001604,               0.001604
                      7,                0.80054,                0.46613,                0.81113,                0.99613,                      1,                  0.995,                0.66611,                 1.4897,                0.60348,                0.78315,               0.001505,               0.001505,               0.001505
                      8,                0.76258,                0.44359,                 0.7956,                0.99654,                      1,                  0.995,                0.74641,                 1.2747,                0.54238,                0.75544,               0.001406,               0.001406,               0.001406
                      9,                0.72366,                0.42112,                0.79064,                0.99587,                      1,                  0.995,                  0.716,                 1.2537,                0.56445,                0.74272,               0.001307,               0.001307,               0.001307
                     10,                0.70646,                0.40908,                0.78751,                0.99639,                      1,                  0.995,                0.75863,                 1.0721,                 0.5158,                0.77216,               0.001208,               0.001208,               0.001208
                     11,                 1.0163,                0.49444,                0.66395,                0.99617,                      1,                  0.995,                   0.76,                   1.18,                 0.5296,                0.77397,               0.001109,               0.001109,               0.001109
                     12,                 0.9784,                0.46982,                0.65401,                0.78109,                 0.8927,                0.86271,                0.46282,                 1.9654,                  1.058,                 1.0464,                0.00101,                0.00101,                0.00101
                     13,                0.95974,                0.46117,                0.65584,                0.99551,                      1,                  0.995,                0.77946,                 1.1436,                0.55115,                0.73513,               0.000911,               0.000911,               0.000911
                     14,                0.96469,                0.45895,                0.65364,                 0.9967,                      1,                  0.995,                0.77385,                 1.1509,                0.52768,                 0.7635,               0.000812,               0.000812,               0.000812
                     15,                0.94117,                0.44721,                0.64908,                0.99588,                      1,                  0.995,                0.73386,                 1.2439,                0.55255,                 0.7524,               0.000713,               0.000713,               0.000713
                     16,                0.92813,                0.44097,                0.64922,                0.99662,                      1,                  0.995,                0.76354,                 1.2037,                0.55594,                0.75112,               0.000614,               0.000614,               0.000614
                     17,                0.90943,                0.43328,                0.64888,                  0.996,                      1,                  0.995,                0.78024,                 1.1122,                0.54075,                0.74395,               0.000515,               0.000515,               0.000515
                     18,                0.90079,                0.42838,                0.64695,                0.99673,                      1,                  0.995,                0.80901,                 1.0598,                0.52301,                0.73471,               0.000416,               0.000416,               0.000416
                     19,                0.89035,                 0.4236,                  0.642,                0.99625,                      1,                  0.995,                 0.7712,                 1.1608,                0.55603,                0.74587,               0.000317,               0.000317,               0.000317
                     20,                 0.8743,                0.41679,                0.64473,                0.99666,                      1,                  0.995,                0.79159,                 1.0978,                0.54051,                0.73915,               0.000218,               0.000218,               0.000218
