                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8008,                  1.969,                  2.672,                0.67984,                0.55446,                0.58667,                0.18044,                 2.4921,                  1.275,                 2.0369,             0.00066461,             0.00066461,             0.00066461
                      2,                  1.458,                 0.7942,                 1.3899,                 0.9103,                0.87624,                0.95329,                0.57939,                 1.3452,                0.76784,                 1.1931,              0.0012654,              0.0012654,              0.0012654
                      3,                 1.0903,                0.63741,                 1.0905,                0.91739,                 0.9346,                0.97448,                0.62606,                 1.2155,                0.74804,                 1.0604,              0.0018001,              0.0018001,              0.0018001
                      4,                0.91908,                0.56038,                0.98929,                0.95356,                0.91832,                0.97446,                0.64989,                 1.2583,                0.63267,                 1.0091,               0.001703,               0.001703,               0.001703
                      5,                0.78343,                 0.4902,                0.92868,                0.94975,                0.93573,                0.98487,                0.68411,                 1.1557,                0.59369,                0.96598,               0.001703,               0.001703,               0.001703
                      6,                0.68016,                0.43596,                0.88938,                0.94462,                0.84447,                0.95981,                0.58185,                 1.4688,                0.68326,                 1.0251,               0.001604,               0.001604,               0.001604
                      7,                0.62782,                0.40461,                0.87265,                0.95715,                0.93988,                0.98565,                0.71892,                 1.0555,                0.52069,                0.93197,               0.001505,               0.001505,               0.001505
                      8,                0.58489,                0.37856,                0.85279,                0.95375,                0.93564,                0.97381,                0.68157,                 1.1509,                0.57324,                0.95019,               0.001406,               0.001406,               0.001406
                      9,                0.54223,                0.35614,                0.84333,                0.94845,                0.95636,                0.98304,                0.75211,                0.96794,                0.49531,                0.90963,               0.001307,               0.001307,               0.001307
                     10,                0.53552,                0.34542,                0.83975,                0.96388,                0.94554,                0.98445,                0.77491,                0.87114,                0.47004,                0.89075,               0.001208,               0.001208,               0.001208
                     11,                0.47648,                0.32761,                0.81931,                0.95522,                0.95038,                0.97949,                0.75175,                0.94052,                0.51206,                0.91428,               0.001109,               0.001109,               0.001109
                     12,                0.45294,                 0.3056,                0.81347,                0.94764,                0.95792,                0.98053,                0.73909,                 1.0103,                0.49865,                0.91057,                0.00101,                0.00101,                0.00101
                     13,                 0.4395,                 0.2939,                0.80949,                0.96387,                0.92327,                0.98228,                0.77746,                0.89583,                0.45204,                0.90057,               0.000911,               0.000911,               0.000911
                     14,                0.41815,                 0.2862,                0.79912,                0.96818,                0.95545,                0.98528,                0.75806,                 0.9554,                0.43929,                0.89585,               0.000812,               0.000812,               0.000812
                     15,                0.40321,                0.27309,                0.79687,                0.97696,                 0.9505,                0.98776,                0.77481,                0.91635,                0.43238,                0.89332,               0.000713,               0.000713,               0.000713
                     16,                0.38646,                 0.2628,                0.79184,                0.97818,                0.96287,                0.98882,                0.75901,                0.99609,                0.45089,                0.90071,               0.000614,               0.000614,               0.000614
                     17,                0.37366,                0.25532,                0.79046,                0.98771,                 0.9604,                 0.9927,                0.77861,                0.90713,                0.40604,                0.87955,               0.000515,               0.000515,               0.000515
                     18,                0.37178,                0.25231,                 0.7866,                0.95356,                 0.9149,                0.97595,                0.72591,                 1.0545,                0.49843,                0.90392,               0.000416,               0.000416,               0.000416
                     19,                  0.359,                0.24391,                0.78722,                 0.9406,                0.92822,                0.97896,                0.71658,                 1.0877,                0.50229,                0.91909,               0.000317,               0.000317,               0.000317
                     20,                0.35013,                0.23918,                0.78474,                0.96916,                 0.9703,                0.98839,                0.78144,                0.91728,                0.42634,                0.88473,               0.000218,               0.000218,               0.000218
