                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8219,                 1.9764,                 2.6841,                0.68558,                0.52894,                0.59972,                0.20012,                 2.4772,                 1.3063,                 2.0747,             0.00066461,             0.00066461,             0.00066461
                      2,                 1.4248,                0.78139,                 1.3996,                0.91767,                0.80007,                 0.9168,                0.49133,                 1.5273,                0.83898,                 1.2349,              0.0012654,              0.0012654,              0.0012654
                      3,                 1.0336,                0.60488,                  1.087,                0.93034,                0.85945,                 0.9593,                0.56193,                 1.4308,                0.71307,                 1.1317,              0.0018001,              0.0018001,              0.0018001
                      4,                0.82331,                  0.513,                0.97263,                0.93772,                0.93174,                0.98202,                0.67776,                  1.147,                0.58959,                  1.014,               0.001703,               0.001703,               0.001703
                      5,                0.71551,                 0.4533,                0.91997,                  0.937,                0.95545,                0.98356,                0.63695,                 1.3493,                0.64577,                 1.0035,               0.001703,               0.001703,               0.001703
                      6,                0.66515,                0.42416,                0.89468,                0.93668,                0.89356,                0.97071,                 0.6842,                 1.0838,                0.59328,                0.98903,               0.001604,               0.001604,               0.001604
                      7,                0.58285,                0.38509,                0.86111,                0.96974,                0.87263,                 0.9663,                0.71052,                 1.0496,                0.54767,                 0.9557,               0.001505,               0.001505,               0.001505
                      8,                0.56431,                0.36633,                0.84937,                0.95799,                0.90318,                0.98003,                0.74636,                0.91983,                0.49608,                0.93787,               0.001406,               0.001406,               0.001406
                      9,                 0.5332,                0.35131,                0.83831,                0.98213,                0.90347,                0.98126,                0.76655,                0.91726,                0.48777,                0.92722,               0.001307,               0.001307,               0.001307
                     10,                0.52318,                0.33727,                0.83641,                 0.9644,                0.93069,                0.98807,                0.76529,                 0.9075,                0.45561,                0.89566,               0.001208,               0.001208,               0.001208
                     11,                0.47857,                0.32608,                0.81411,                0.93573,                0.90097,                0.95476,                0.70211,                 1.0803,                0.58749,                0.96376,               0.001109,               0.001109,               0.001109
                     12,                0.45647,                0.31021,                0.80958,                0.95751,                0.95545,                0.98099,                0.76105,                0.89895,                0.45944,                0.89533,                0.00101,                0.00101,                0.00101
                     13,                0.42073,                0.28466,                0.80203,                0.97372,                0.93317,                0.98409,                0.77167,                0.89507,                0.44672,                 0.8868,               0.000911,               0.000911,               0.000911
                     14,                0.40498,                0.27807,                0.79649,                0.97163,                0.91089,                0.97286,                0.73077,                 1.0374,                 0.5169,                0.92272,               0.000812,               0.000812,               0.000812
                     15,                0.40328,                0.27046,                 0.7953,                0.95268,                0.94676,                 0.9852,                 0.7633,                 0.9162,                0.46206,                0.90195,               0.000713,               0.000713,               0.000713
                     16,                0.38296,                0.26085,                0.79067,                0.96251,                0.95326,                0.98409,                0.73419,                  1.007,                 0.4602,                0.90062,               0.000614,               0.000614,               0.000614
                     17,                0.37101,                0.25321,                 0.7887,                0.96439,                0.94802,                0.98803,                0.74798,                 0.9606,                0.45996,                0.90389,               0.000515,               0.000515,               0.000515
                     18,                0.36304,                0.24918,                0.78502,                0.95394,                0.94554,                0.97517,                0.73435,                0.99854,                 0.4818,                 0.9014,               0.000416,               0.000416,               0.000416
                     19,                0.35391,                0.24124,                0.78563,                0.94003,                0.93812,                0.97742,                0.76109,                0.94226,                0.44811,                0.90109,               0.000317,               0.000317,               0.000317
                     20,                0.34198,                0.23483,                0.78296,                0.97196,                0.95792,                 0.9806,                0.76588,                0.90212,                0.41824,                0.88499,               0.000218,               0.000218,               0.000218
