                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8135,                 1.9702,                 2.6781,                 0.5481,                0.51238,                0.53274,                0.17357,                 2.5915,                 1.3185,                 2.0695,             0.00066461,             0.00066461,             0.00066461
                      2,                 1.4376,                0.78547,                 1.3936,                0.86127,                0.84516,                0.91976,                0.46111,                 1.6748,                0.83855,                 1.2507,              0.0012654,              0.0012654,              0.0012654
                      3,                 1.0491,                0.61869,                 1.0838,                0.93787,                0.92574,                0.96911,                 0.6039,                 1.3374,                 0.6956,                 1.1063,              0.0018001,              0.0018001,              0.0018001
                      4,                0.86159,                0.53205,                0.97432,                0.94265,                0.95792,                0.98522,                 0.6275,                 1.3714,                0.64118,                 1.0251,               0.001703,               0.001703,               0.001703
                      5,                0.77522,                0.48522,                0.92199,                0.92617,                0.94554,                0.98329,                 0.6813,                 1.1597,                0.58746,                0.96359,               0.001703,               0.001703,               0.001703
                      6,                0.68932,                0.43726,                0.88426,                0.93707,                0.82921,                0.94696,                0.62894,                 1.2341,                0.69963,                0.98983,               0.001604,               0.001604,               0.001604
                      7,                0.62274,                 0.4031,                0.86347,                0.97202,                0.94586,                0.98927,                0.71722,                 1.0468,                0.53021,                0.92852,               0.001505,               0.001505,               0.001505
                      8,                  0.581,                0.37869,                0.84829,                0.94973,                 0.9353,                 0.9796,                0.73102,                 1.0445,                0.52025,                0.93831,               0.001406,               0.001406,               0.001406
                      9,                0.53997,                0.35741,                0.83668,                0.96252,                0.95345,                0.98949,                0.73386,                 1.0256,                 0.4976,                0.91133,               0.001307,               0.001307,               0.001307
                     10,                0.51311,                0.33993,                0.82851,                0.98939,                0.92313,                0.99071,                0.76777,                0.93284,                0.47011,                0.89484,               0.001208,               0.001208,               0.001208
                     11,                0.48256,                0.33077,                 0.8117,                0.96178,                0.93433,                0.98778,                0.75766,                0.95393,                0.48744,                0.90002,               0.001109,               0.001109,               0.001109
                     12,                0.44009,                0.30111,                0.80446,                0.96544,                0.96812,                0.99084,                 0.7707,                0.92397,                0.44433,                0.89434,                0.00101,                0.00101,                0.00101
                     13,                0.41769,                 0.2864,                0.79829,                0.95842,                0.91282,                0.97686,                0.76071,                 0.8954,                0.47504,                0.89192,               0.000911,               0.000911,               0.000911
                     14,                0.40895,                0.28037,                0.79509,                0.93505,                0.93069,                0.98063,                0.73008,                 1.0425,                0.50961,                0.88933,               0.000812,               0.000812,               0.000812
                     15,                0.40552,                0.27363,                0.79595,                0.96707,                0.94498,                0.98788,                0.73461,                 1.0223,                0.46686,                0.87928,               0.000713,               0.000713,               0.000713
                     16,                0.38103,                0.26054,                0.78843,                0.95487,                0.94276,                0.98736,                0.76277,                0.93937,                0.44378,                0.88777,               0.000614,               0.000614,               0.000614
                     17,                0.37239,                 0.2548,                0.78895,                0.97269,                0.96989,                0.99183,                0.78645,                0.88075,                0.40414,                0.87655,               0.000515,               0.000515,               0.000515
                     18,                0.36821,                0.25066,                 0.7855,                0.97202,                 0.9604,                0.99122,                0.77823,                0.91112,                0.41168,                 0.8757,               0.000416,               0.000416,               0.000416
                     19,                 0.3565,                 0.2431,                0.78528,                0.98941,                0.92574,                0.98603,                 0.7855,                0.86396,                0.42195,                 0.8817,               0.000317,               0.000317,               0.000317
                     20,                0.34777,                0.23841,                0.78398,                0.97861,                0.96287,                0.99141,                0.78928,                0.89032,                0.40609,                 0.8774,               0.000218,               0.000218,               0.000218
