                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8596,                 2.3227,                 1.9239,                0.02667,                    0.5,                0.05153,                0.00515,                  4.431,                 1.3436,                0.74912,             0.00066461,             0.00066461,             0.00066461
                      2,                 2.1079,                0.82943,                 0.9288,                0.01333,                   0.25,                0.01454,                0.00145,                 4.0369,                 1.1179,                0.55249,              0.0012654,              0.0012654,              0.0012654
                      3,                 1.8734,                 0.7196,                0.79908,                 0.0625,                 0.4375,                0.04567,                0.00457,                 4.0397,                 1.0072,                0.54868,              0.0018001,              0.0018001,              0.0018001
                      4,                 1.7427,                0.65278,                0.72757,                 0.0625,                 0.4375,                0.04567,                0.00457,                 4.0736,                0.93816,                0.54341,               0.001703,               0.001703,               0.001703
                      5,                 1.6863,                0.61008,                0.70556,                 0.0625,                 0.4375,                0.04567,                0.00457,                 4.0218,                0.92615,                 0.5202,               0.001703,               0.001703,               0.001703
                      6,                 1.5935,                0.57694,                 0.6831,                0.09091,                   0.25,                0.06255,                0.00625,                 4.0679,                 0.8934,                0.54622,               0.001604,               0.001604,               0.001604
                      7,                 1.5912,                0.56154,                0.67697,                0.05556,                  0.125,                0.03359,                0.00336,                 3.9876,                0.87949,                0.50875,               0.001505,               0.001505,               0.001505
                      8,                 1.5183,                0.53878,                0.66456,                0.03686,                 0.0625,                 0.0137,                0.00137,                 4.0751,                0.88965,                0.53574,               0.001406,               0.001406,               0.001406
                      9,                 1.5196,                0.53305,                 0.6638,                0.18748,                   0.25,                0.12898,                 0.0129,                 3.8759,                0.86459,                0.48859,               0.001307,               0.001307,               0.001307
                     10,                 1.4833,                0.51803,                 0.6495,                0.18421,                 0.4375,                0.13456,                0.01346,                 3.9179,                0.83397,                0.50454,               0.001208,               0.001208,               0.001208
                     11,                 2.7762,                0.70534,                0.47912,                0.12121,                   0.25,                0.10179,                0.01018,                 3.8765,                0.83425,                0.48859,               0.001109,               0.001109,               0.001109
                     12,                  2.731,                0.67855,                0.47904,                0.09571,                  0.125,                0.05737,                0.00574,                 3.8891,                0.82664,                0.49671,                0.00101,                0.00101,                0.00101
                     13,                 2.7403,                0.67382,                0.47528,                0.12398,                  0.125,                0.09796,                 0.0098,                 3.9344,                0.83827,                0.50439,               0.000911,               0.000911,               0.000911
                     14,                 2.7033,                 0.6576,                0.47508,                0.02273,                 0.0625,                0.01231,                0.00123,                 4.0978,                0.90756,                0.56361,               0.000812,               0.000812,               0.000812
                     15,                 2.7237,                0.65686,                0.47279,                0.22752,                   0.25,                0.17039,                0.01704,                 3.8559,                0.80512,                0.48688,               0.000713,               0.000713,               0.000713
                     16,                 2.7426,                0.65426,                0.46734,                0.22752,                   0.25,                0.17039,                0.01704,                 3.9441,                0.81887,                0.51305,               0.000614,               0.000614,               0.000614
                     17,                 2.7072,                0.64789,                0.46883,                0.07615,                  0.125,                0.06729,                0.00673,                 3.8728,                 0.7924,                0.49333,               0.000515,               0.000515,               0.000515
                     18,                    2.7,                0.64551,                0.46751,                0.10863,                  0.125,                 0.0693,                0.00693,                 3.9109,                0.81428,                0.49716,               0.000416,               0.000416,               0.000416
                     19,                 2.7019,                0.64292,                0.46859,                0.05744,                 0.0625,                0.02063,                0.00206,                 3.9125,                0.80444,                0.49682,               0.000317,               0.000317,               0.000317
                     20,                 2.6789,                0.63925,                0.46794,                0.17953,                 0.1875,                0.08649,                0.00865,                 3.8792,                0.81328,                0.49149,               0.000218,               0.000218,               0.000218
