                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.8319,                 1.9871,                 2.6858,                0.63493,                0.55963,                0.56702,                 0.1765,                 2.5572,                 1.3273,                  2.078,             0.00066461,             0.00066461,             0.00066461
                      2,                 1.5064,                0.81288,                  1.415,                0.82809,                0.76238,                0.79766,                0.43886,                 1.4899,                0.87005,                 1.2813,              0.0012654,              0.0012654,              0.0012654
                      3,                 1.1014,                0.64243,                 1.0979,                0.88903,                0.77341,                0.81874,                0.50513,                  1.496,                0.79176,                 1.1479,              0.0018001,              0.0018001,              0.0018001
                      4,                0.95159,                0.56878,                0.99735,                0.89717,                 0.7995,                0.83971,                0.53888,                 1.3633,                0.71043,                 1.0559,               0.001703,               0.001703,               0.001703
                      1,                 4.0069,                 2.0735,                 2.7185,                0.61235,                0.37129,                0.42115,                0.15695,                 2.7494,                 1.4491,                 2.1323,             0.00066461,             0.00066461,             0.00066461
                      5,                0.79139,                0.49044,                 0.9274,                0.96206,                0.81603,                 0.8548,                0.60059,                 1.1959,                0.62094,                0.98697,               0.001703,               0.001703,               0.001703
                      6,                0.73815,                0.45951,                0.89093,                0.76244,                0.35749,                0.45861,                0.24427,                 2.1103,                 1.2222,                 1.3231,               0.001604,               0.001604,               0.001604
                      7,                0.66943,                 0.4232,                0.87323,                0.88608,                 0.7698,                0.82385,                0.47979,                 1.6016,                0.79394,                 1.0673,               0.001505,               0.001505,               0.001505
                      8,                0.62692,                0.39609,                0.85564,                0.95725,                0.81683,                0.86985,                 0.6408,                 1.1111,                 0.5794,                0.98663,               0.001406,               0.001406,               0.001406
                      2,                 1.9141,                 1.0576,                 1.5403,                0.61851,                0.66584,                0.70963,                0.24296,                 2.1063,                 1.0732,                 1.3951,              0.0012654,              0.0012654,              0.0012654
                      9,                0.59364,                0.38029,                0.84596,                0.97227,                0.82178,                0.88547,                0.63125,                 1.1965,                0.60484,                 0.9689,               0.001307,               0.001307,               0.001307
