                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.0069,                 2.0735,                 2.7185,                0.61235,                0.37129,                0.42115,                0.15695,                 2.7494,                 1.4491,                 2.1323,             0.00066461,             0.00066461,             0.00066461
                      2,                 1.9141,                 1.0576,                 1.5403,                0.61851,                0.66584,                0.70963,                0.24296,                 2.1063,                 1.0732,                 1.3951,              0.0012654,              0.0012654,              0.0012654
                      3,                 1.5072,                 0.8662,                 1.2477,                0.72712,                0.67276,                0.76074,                0.25245,                 2.4019,                  1.065,                 1.3659,              0.0018001,              0.0018001,              0.0018001
                      4,                 1.3573,                0.80236,                 1.1495,                0.72018,                 0.6753,                 0.7408,                0.32725,                 2.0833,                0.94083,                 1.2669,               0.001703,               0.001703,               0.001703
                      5,                 1.2119,                0.73068,                 1.0777,                0.70294,                0.46858,                0.53206,                0.25743,                  2.282,                 1.0894,                 1.2866,               0.001703,               0.001703,               0.001703
                      6,                 1.0842,                0.65964,                 1.0267,                0.65512,                 0.5396,                0.56129,                0.29817,                 2.2355,                0.97082,                  1.296,               0.001604,               0.001604,               0.001604
                      7,                  1.028,                0.62978,                0.99924,                0.65289,                 0.5261,                0.60805,                0.33786,                 2.0951,                0.91039,                 1.2211,               0.001505,               0.001505,               0.001505
                      8,                0.96925,                0.58804,                0.98039,                0.64519,                0.53562,                0.58381,                0.29516,                 2.2146,                0.98359,                 1.2557,               0.001406,               0.001406,               0.001406
                      9,                0.90678,                0.55578,                0.96107,                 0.6403,                0.45297,                0.53402,                 0.2998,                 2.1335,                0.97779,                 1.2457,               0.001307,               0.001307,               0.001307
                     10,                0.90537,                0.54698,                0.94843,                0.56635,                0.45904,                0.47324,                0.25085,                 2.3458,                 1.0582,                 1.3143,               0.001208,               0.001208,               0.001208
                     11,                0.84682,                0.53128,                0.93556,                0.61873,                0.43317,                0.49148,                0.29612,                 2.0492,                 1.1112,                 1.2674,               0.001109,               0.001109,               0.001109
                     12,                0.77363,                0.49616,                0.92125,                0.71875,                0.57564,                0.63389,                0.30873,                 2.3306,                 0.9153,                 1.2414,                0.00101,                0.00101,                0.00101
                     13,                0.75838,                0.48834,                0.91489,                 0.7525,                0.61634,                0.65672,                0.32651,                 2.1493,                0.85957,                 1.1979,               0.000911,               0.000911,               0.000911
                     14,                0.72034,                0.46072,                0.89924,                0.71252,                0.64604,                0.67969,                0.40062,                 1.9644,                 0.8124,                 1.1493,               0.000812,               0.000812,               0.000812
                     15,                0.68886,                0.44289,                0.89263,                0.72399,                 0.5495,                 0.6306,                0.39186,                 1.9391,                0.87144,                  1.167,               0.000713,               0.000713,               0.000713
                     16,                0.66025,                0.42625,                0.88192,                0.71287,                0.62624,                0.66243,                  0.426,                 1.7458,                0.77268,                 1.1134,               0.000614,               0.000614,               0.000614
                     17,                0.64155,                0.41329,                0.87607,                0.70704,                0.53766,                0.60935,                0.38659,                 1.8964,                0.95362,                 1.1919,               0.000515,               0.000515,               0.000515
                     18,                0.62783,                0.40279,                0.86896,                 0.7339,                0.50743,                0.57164,                0.33205,                 2.1378,                0.97193,                 1.2596,               0.000416,               0.000416,               0.000416
                     19,                0.60221,                0.39162,                0.86622,                0.74763,                0.54455,                0.59343,                0.40216,                 1.8419,                0.85562,                 1.1797,               0.000317,               0.000317,               0.000317
                     20,                0.58373,                0.38314,                0.86205,                0.77401,                0.55198,                0.66116,                0.42986,                 1.7593,                0.80069,                 1.1145,               0.000218,               0.000218,               0.000218
